stream,prune_percent,W_statistic,value
spatial,4.000000000000004,3.0,0.3125
spatial,7.840000000000002,6.0,0.8125
spatial,11.526400000000002,5.0,0.625
spatial,15.065344000000003,7.0,1.0
spatial,18.462730240000003,5.0,0.625
spatial,21.724221030400003,6.0,0.8125
spatial,24.855252189184007,5.0,0.625
spatial,27.86104210161665,4.0,0.4375
spatial,30.746600417551985,5.0,0.625
spatial,33.51673640084991,1.0,0.125
spatial,36.17606694481592,7.0,1.0
spatial,38.72902426702328,5.0,1.0
spatial,41.179863296342354,4.0,0.4375
spatial,43.53266876448867,3.0,0.4652088184521418
spatial,45.79136201390912,4.0,0.4375
spatial,47.95970753335276,7.0,1.0
spatial,50.04131923201864,0.0,0.0625
