stream,prune_percent,value
temporal,4.000000000000004,0.1773998864540281
temporal,7.840000000000002,-0.7019908741779504
temporal,11.526400000000002,-0.08998804925575996
temporal,15.065344000000003,-0.02747211278973977
temporal,18.462730240000003,-0.22765558339294217
temporal,21.724221030400003,-0.394745278497159
temporal,24.855252189184007,-1.9941479556266135
temporal,27.86104210161665,-0.4379576665682865
temporal,30.746600417551985,-0.6944799123518787
temporal,33.51673640084991,-0.6841107990768936
temporal,36.17606694481592,-1.078420470048099
temporal,38.72902426702328,-0.8986652462962745
temporal,41.179863296342354,-0.9789418797614255
temporal,43.53266876448867,-0.635464302341302
temporal,45.79136201390912,-1.7084274218179778
temporal,47.95970753335276,-1.4977610350134607
temporal,50.04131923201864,-1.3790224092962313
