stream,prune_percent,mean_accuracy,std_dev
temporal,0.0,43.49025974025974,1.3421658872664515
temporal,4.000000000000004,43.72835497835498,0.27618615054491263
temporal,7.840000000000002,42.435064935064936,1.3738355865964806
temporal,11.526400000000002,43.42532467532468,0.7966683909272423
temporal,15.065344000000003,43.46320346320347,1.165400257572186
temporal,18.462730240000003,43.252164502164504,0.9212255093947892
temporal,21.724221030400003,43.07900432900433,0.5575825426101644
temporal,24.855252189184007,41.99134199134199,1.420261273184047
temporal,27.86104210161665,42.900432900432904,0.5399744249874816
temporal,30.746600417551985,42.75974025974026,1.1057712089950191
temporal,33.51673640084991,42.44047619047619,0.7649322015885578
temporal,36.17606694481592,42.42424242424242,0.41032875779499806
temporal,38.72902426702328,41.40151515151515,1.2042930973325807
temporal,41.179863296342354,42.67316017316017,1.31082008040171
temporal,43.53266876448867,42.60822510822511,0.3667098838870111
temporal,45.79136201390912,42.14285714285714,1.3462503113700401
temporal,47.95970753335276,41.385281385281395,1.2993493603119879
temporal,50.04131923201864,42.42424242424242,1.0657219908674853
